"ticket_id","customer_id","subscription_id","integration_id","created_at","priority","category","subject","status","assigned_team","resolved_at","resolution_type","customer_impact"
1,1,1,1,"2021-12-01 00:00:00","Low","Integration","Integration Issue - Checkout flow broken","Resolved","Billing Support","2021-12-03 00:00:00","Self-Resolved","Checkout flow broken"
2,1,1,2,"2021-11-08 00:00:00","Medium","Performance","Performance Issue - Reporting data inaccurate","Resolved","DevOps","2021-11-22 00:00:00","Self-Resolved","Reporting data inaccurate"
3,1,1,2,"2022-01-28 00:00:00","Low","Integration","Integration Issue - Payment gateway down","Escalated","API Team","2022-02-03 00:00:00","","Payment gateway down"
4,1,1,1,"2022-01-27 00:00:00","High","Performance","Performance Issue - Data sync lag","Resolved","Billing Support","2022-02-07 00:00:00","Self-Resolved","Data sync lag"
5,2,2,5,"2023-04-28 00:00:00","Low","Access","Access Issue - User access denied","Resolved","Customer Success","2023-05-11 00:00:00","Self-Resolved","User access denied"
6,2,2,6,"2023-02-28 00:00:00","Low","API","API Issue - Inventory sync error","Resolved","Billing Support","2023-03-14 00:00:00","Self-Resolved","Inventory sync error"
7,2,2,4,"2023-05-15 00:00:00","Medium","API","API Issue - Webhook delivery delay","Open","Integration Team","0000-00-00 00:00:00","","Webhook delivery delay"
8,2,2,3,"2024-03-02 00:00:00","High","Access","Access Issue - Webhook delivery delay","Open","Customer Success","0000-00-00 00:00:00","","Webhook delivery delay"
9,2,2,7,"2024-03-08 00:00:00","Medium","Billing","Billing Issue - Reporting data inaccurate","Resolved","Technical Support","2024-03-16 00:00:00","Self-Resolved","Reporting data inaccurate"
10,3,3,8,"2021-08-12 00:00:00","Medium","Billing","Billing Issue - User access denied","Resolved","Customer Success","2021-08-19 00:00:00","Escalated","User access denied"
11,3,3,8,"2022-06-02 00:00:00","Low","API","API Issue - Checkout flow broken","Open","DevOps","0000-00-00 00:00:00","","Checkout flow broken"
12,3,3,8,"2022-11-04 00:00:00","Medium","Performance","Performance Issue - Webhook delivery delay","Resolved","API Team","2022-11-17 00:00:00","Escalated","Webhook delivery delay"
13,4,4,11,"2023-08-21 00:00:00","Low","Integration","Integration Issue - Inventory sync error","Resolved","API Team","2023-09-02 00:00:00","Escalated","Inventory sync error"
14,4,4,10,"2023-07-04 00:00:00","High","Performance","Performance Issue - Inventory sync error","Resolved","Customer Success","2023-07-08 00:00:00","Self-Resolved","Inventory sync error"
15,4,4,11,"2022-12-28 00:00:00","Critical","API","API Issue - User access denied","Escalated","Customer Success","2023-01-08 00:00:00","","User access denied"
16,5,5,13,"2022-02-04 00:00:00","High","Access","Access Issue - Inventory sync error","Resolved","Customer Success","2022-02-14 00:00:00","Self-Resolved","Inventory sync error"
17,5,5,12,"2022-09-09 00:00:00","High","Performance","Performance Issue - Webhook delivery delay","Investigating","DevOps","0000-00-00 00:00:00","","Webhook delivery delay"
18,5,5,12,"2021-10-16 00:00:00","Low","API","API Issue - Minor inconvenience","Open","API Team","0000-00-00 00:00:00","","Minor inconvenience"
19,5,5,12,"2022-09-11 00:00:00","High","Access","Access Issue - Integration sync failure","Resolved","DevOps","2022-09-14 00:00:00","Self-Resolved","Integration sync failure"
20,5,5,14,"2021-09-08 00:00:00","Medium","Integration","Integration Issue - Checkout flow broken","Open","DevOps","0000-00-00 00:00:00","","Checkout flow broken"
21,6,6,17,"2023-01-15 00:00:00","Medium","Integration","Integration Issue - Inventory sync error","Investigating","Customer Success","0000-00-00 00:00:00","","Inventory sync error"
22,7,7,19,"2022-02-18 00:00:00","Critical","Integration","Integration Issue - User access denied","Resolved","Billing Support","2022-03-03 00:00:00","Escalated","User access denied"
23,7,7,21,"2023-02-09 00:00:00","Low","Performance","Performance Issue - Checkout flow broken","Resolved","DevOps","2023-02-23 00:00:00","L1 Resolved","Checkout flow broken"
24,7,7,19,"2022-10-31 00:00:00","High","API","API Issue - API timeout affecting checkout","Resolved","Technical Support","2022-11-04 00:00:00","Escalated","API timeout affecting checkout"
25,7,7,22,"2023-06-01 00:00:00","Low","Performance","Performance Issue - Minor inconvenience","Open","API Team","0000-00-00 00:00:00","","Minor inconvenience"
26,7,7,20,"2022-11-05 00:00:00","Low","API","API Issue - Data sync lag","Resolved","Billing Support","2022-11-10 00:00:00","Escalated","Data sync lag"
